run_id,date,session_type,spec_id,tool,prompt_variant,tool_version,model,rounds_to_runnable,notes
S015_claude_A_20260610080449,2026-06-10,generation,S015,claude,A,2.1.170 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-10T08:04:49.323679+00:00
S015_claude_B_20260610080544,2026-06-10,generation,S015,claude,B,2.1.170 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-10T08:05:44.519859+00:00
S015_claude_B_20260610114302,2026-06-10,generation,S015,claude,B,2.1.170 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-10T11:43:02.719239+00:00
S016_claude_A_20260610115721,2026-06-10,generation,S016,claude,A,2.1.170 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-10T11:57:21.783800+00:00
S016_claude_B_20260610115825,2026-06-10,generation,S016,claude,B,2.1.170 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-10T11:58:25.612252+00:00
S017_claude_A_20260610120223,2026-06-10,generation,S017,claude,A,2.1.170 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-10T12:02:23.800152+00:00
S017_claude_B_20260610120320,2026-06-10,generation,S017,claude,B,2.1.170 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-10T12:03:20.214538+00:00
S018_claude_A_20260610120620,2026-06-10,generation,S018,claude,A,2.1.170 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-10T12:06:20.974442+00:00
S018_claude_B_20260610120737,2026-06-10,generation,S018,claude,B,2.1.170 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-10T12:07:37.219372+00:00
S019_claude_A_20260610121309,2026-06-10,generation,S019,claude,A,2.1.170 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-10T12:13:09.621786+00:00
S019_claude_B_20260610121434,2026-06-10,generation,S019,claude,B,2.1.170 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-10T12:14:34.460224+00:00
S020_claude_A_20260610121707,2026-06-10,generation,S020,claude,A,2.1.170 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-10T12:17:07.228283+00:00
S020_claude_B_20260610121807,2026-06-10,generation,S020,claude,B,2.1.170 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-10T12:18:07.132844+00:00
S021_claude_A_20260611073659,2026-06-11,generation,S021,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T07:36:59.636412+00:00
S021_claude_B_20260611073820,2026-06-11,generation,S021,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T07:38:20.336359+00:00
S022_claude_A_20260611074013,2026-06-11,generation,S022,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T07:40:13.105759+00:00
S022_claude_B_20260611074134,2026-06-11,generation,S022,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T07:41:34.279811+00:00
S023_claude_A_20260611074359,2026-06-11,generation,S023,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T07:43:59.829265+00:00
S023_claude_B_20260611074451,2026-06-11,generation,S023,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T07:44:51.690607+00:00
S024_claude_A_20260611074810,2026-06-11,generation,S024,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T07:48:10.268239+00:00
S024_claude_B_20260611074924,2026-06-11,generation,S024,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T07:49:24.930679+00:00
S025_claude_A_20260611075549,2026-06-11,generation,S025,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T07:55:49.835467+00:00
S025_claude_B_20260611075717,2026-06-11,generation,S025,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T07:57:17.950472+00:00
S026_claude_A_20260611082831,2026-06-11,generation,S026,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T08:28:31.430432+00:00
S026_claude_B_20260611083022,2026-06-11,generation,S026,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T08:30:22.755796+00:00
S027_claude_A_20260611083424,2026-06-11,generation,S027,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T08:34:24.761282+00:00
S027_claude_B_20260611083629,2026-06-11,generation,S027,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T08:36:30.003506+00:00
S028_claude_A_20260611084032,2026-06-11,generation,S028,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T08:40:32.329317+00:00
S028_claude_B_20260611084152,2026-06-11,generation,S028,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-11T08:41:52.716296+00:00
S029_claude_A_20260611084201,2026-06-11,generation,S029,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-11T08:42:01.120652+00:00
S029_claude_B_20260611084202,2026-06-11,generation,S029,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-11T08:42:02.849940+00:00
S030_claude_A_20260611084204,2026-06-11,generation,S030,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-11T08:42:04.616634+00:00
S030_claude_B_20260611084206,2026-06-11,generation,S030,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-11T08:42:06.513510+00:00
S028_claude_B_20260611101252,2026-06-11,generation,S028,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T10:12:52.232100+00:00
S029_claude_A_20260611101629,2026-06-11,generation,S029,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T10:16:29.386260+00:00
S029_claude_B_20260611101754,2026-06-11,generation,S029,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T10:17:54.296569+00:00
S030_claude_A_20260611102327,2026-06-11,generation,S030,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T10:23:27.353853+00:00
S030_claude_B_20260611102600,2026-06-11,generation,S030,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T10:26:00.280126+00:00
S031_claude_A_20260611105225,2026-06-11,generation,S031,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T10:52:25.702653+00:00
S031_claude_B_20260611105452,2026-06-11,generation,S031,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T10:54:52.308351+00:00
S032_claude_A_20260611110104,2026-06-11,generation,S032,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T11:01:04.693132+00:00
S032_claude_B_20260611110328,2026-06-11,generation,S032,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T11:03:28.641945+00:00
S033_claude_A_20260611110837,2026-06-11,generation,S033,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-11T11:08:37.459176+00:00
S033_claude_B_20260611111318,2026-06-11,generation,S033,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-11T11:13:18.210969+00:00
S034_claude_A_20260611111353,2026-06-11,generation,S034,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-11T11:13:54.046170+00:00
S034_claude_B_20260611111355,2026-06-11,generation,S034,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-11T11:13:55.951558+00:00
S035_claude_A_20260611111357,2026-06-11,generation,S035,claude,A,2.1.173 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-11T11:13:57.772788+00:00
S035_claude_B_20260611111359,2026-06-11,generation,S035,claude,B,2.1.173 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-11T11:13:59.485653+00:00
S033_claude_B_20260612072850,2026-06-12,generation,S033,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T07:28:50.911976+00:00
S034_claude_A_20260612073804,2026-06-12,generation,S034,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T07:38:04.302045+00:00
S034_claude_B_20260612073955,2026-06-12,generation,S034,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T07:39:56.050020+00:00
S035_claude_A_20260612074432,2026-06-12,generation,S035,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T07:44:32.307617+00:00
S035_claude_B_20260612074702,2026-06-12,generation,S035,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T07:47:03.007091+00:00
S036_claude_A_20260612080504,2026-06-12,generation,S036,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T08:05:04.942954+00:00
S036_claude_B_20260612080713,2026-06-12,generation,S036,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T08:07:13.175106+00:00
S037_claude_A_20260612081457,2026-06-12,generation,S037,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T08:14:57.919854+00:00
S037_claude_B_20260612081914,2026-06-12,generation,S037,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T08:19:14.133615+00:00
S038_claude_A_20260612082733,2026-06-12,generation,S038,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-12T08:27:33.529801+00:00
S038_claude_B_20260612082751,2026-06-12,generation,S038,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-12T08:27:51.793171+00:00
S039_claude_A_20260612082754,2026-06-12,generation,S039,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-12T08:27:54.360527+00:00
S039_claude_B_20260612082756,2026-06-12,generation,S039,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-12T08:27:56.387770+00:00
S040_claude_A_20260612082758,2026-06-12,generation,S040,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-12T08:27:58.571747+00:00
S040_claude_B_20260612082800,2026-06-12,generation,S040,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-12T08:28:00.821879+00:00
S038_claude_A_20260612094526,2026-06-12,generation,S038,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T09:45:26.899544+00:00
S038_claude_B_20260612094802,2026-06-12,generation,S038,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-12T09:48:02.269338+00:00
S039_claude_A_20260612095240,2026-06-12,generation,S039,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T09:52:40.716835+00:00
S039_claude_B_20260612095530,2026-06-12,generation,S039,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T09:55:31.043257+00:00
S040_claude_A_20260612100010,2026-06-12,generation,S040,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T10:00:10.200046+00:00
S040_claude_B_20260612100725,2026-06-12,generation,S040,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T10:07:25.868921+00:00
S038_claude_B_20260612101803,2026-06-12,generation,S038,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T10:18:03.805484+00:00
S041_claude_A_20260612201218,2026-06-12,generation,S041,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T20:12:18.711369+00:00
S041_claude_B_20260612201542,2026-06-12,generation,S041,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T20:15:42.957521+00:00
S042_claude_A_20260612202055,2026-06-12,generation,S042,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T20:20:55.837858+00:00
S042_claude_B_20260612202407,2026-06-12,generation,S042,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T20:24:07.644158+00:00
S043_claude_A_20260612202750,2026-06-12,generation,S043,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T20:27:50.488137+00:00
S043_claude_B_20260612203024,2026-06-12,generation,S043,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T20:30:25.032769+00:00
S044_claude_A_20260612203620,2026-06-12,generation,S044,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T20:36:20.487463+00:00
S044_claude_B_20260612203752,2026-06-12,generation,S044,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T20:37:52.944781+00:00
S045_claude_A_20260612204341,2026-06-12,generation,S045,claude,A,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T20:43:41.256704+00:00
S045_claude_B_20260612204545,2026-06-12,generation,S045,claude,B,2.1.175 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-12T20:45:45.249859+00:00
S046_claude_A_20260613214052,2026-06-13,generation,S046,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-13T21:40:52.803734+00:00
S046_claude_B_20260613214758,2026-06-14,generation,S046,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-13T21:47:58.771528+00:00
S047_claude_A_20260613220409,2026-06-14,generation,S047,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-13T22:04:09.136213+00:00
S047_claude_B_20260613220710,2026-06-14,generation,S047,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-13T22:07:10.800990+00:00
S048_claude_A_20260613221346,2026-06-14,generation,S048,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-13T22:13:46.462623+00:00
S048_claude_B_20260613221636,2026-06-14,generation,S048,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-13T22:16:36.888873+00:00
S049_claude_A_20260613222054,2026-06-14,generation,S049,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-13T22:20:54.713975+00:00
S049_claude_B_20260613222434,2026-06-14,generation,S049,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-13T22:24:34.527625+00:00
S050_claude_A_20260613222933,2026-06-14,generation,S050,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-13T22:29:34.034512+00:00
S050_claude_B_20260613223329,2026-06-14,generation,S050,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-13T22:33:29.582940+00:00
S046_claude_A_20260613225749,2026-06-14,generation,S046,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-13T22:57:49.137536+00:00
S046_claude_B_20260613225947,2026-06-14,generation,S046,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-13T22:59:47.525356+00:00
S047_claude_A_20260613225949,2026-06-14,generation,S047,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-13T22:59:49.989958+00:00
S046_claude_A_20260614201051,2026-06-14,generation,S046,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-14T20:10:51.688465+00:00
S046_claude_B_20260614201704,2026-06-14,generation,S046,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-14T20:17:04.825282+00:00
S047_claude_A_20260614202610,2026-06-14,generation,S047,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-14T20:26:10.123026+00:00
S051_claude_A_20260614212802,2026-06-14,generation,S051,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-14T21:28:02.795338+00:00
S051_claude_B_20260614212958,2026-06-14,generation,S051,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-14T21:29:58.634138+00:00
S052_claude_A_20260614213548,2026-06-14,generation,S052,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-14T21:35:48.387126+00:00
S052_claude_B_20260614213826,2026-06-14,generation,S052,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-14T21:38:26.743240+00:00
S053_claude_A_20260614214334,2026-06-14,generation,S053,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-14T21:43:34.873750+00:00
S053_claude_B_20260614214631,2026-06-14,generation,S053,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-14T21:46:31.582842+00:00
S054_claude_A_20260614215215,2026-06-14,generation,S054,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-14T21:52:15.185891+00:00
S054_claude_B_20260614215217,2026-06-14,generation,S054,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-14T21:52:17.214230+00:00
S055_claude_A_20260614215219,2026-06-14,generation,S055,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-14T21:52:19.554800+00:00
S055_claude_B_20260614215221,2026-06-14,generation,S055,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=1; started=2026-06-14T21:52:21.650888+00:00
S053_claude_B_20260615043316,2026-06-15,generation,S053,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-15T04:33:16.303944+00:00
S054_claude_A_20260615043924,2026-06-15,generation,S054,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-15T04:39:24.961133+00:00
S054_claude_B_20260615044207,2026-06-15,generation,S054,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-15T04:42:07.634494+00:00
S055_claude_A_20260615044652,2026-06-15,generation,S055,claude,A,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-15T04:46:52.782600+00:00
S055_claude_B_20260615045045,2026-06-15,generation,S055,claude,B,2.1.177 (Claude Code),claude-opus-4-8,,exit=0; started=2026-06-15T04:50:45.491193+00:00
